pluginFamily,pluginID,NIST-ID,Rev
AIX Local Security Checks,*,SI-2|RA-5,4
Amazon Linux Local Security Checks,*,SI-2|RA-5,4
CentOS Local Security Checks,*,SI-2|RA-5,4
Debian Local Security Checks,*,SI-2|RA-5,4
F5 Networks Local Security Checks,*,SI-2|RA-5,4
Fedora Local Security Checks,*,SI-2|RA-5,4
FreeBSD Local Security Checks,*,SI-2|RA-5,4
Gentoo Local Security Checks,*,SI-2|RA-5,4
HP-UX Local Security Checks,*,SI-2|RA-5,4
Huawei Local Security Checks,*,SI-2|RA-5,4
Junos Local Security Checks,*,SI-2|RA-5,4
MacOS X Local Security Checks,*,SI-2|RA-5,4
Mandriva Local Security Checks,*,SI-2|RA-5,4
NewStart CGSL Local Security Checks,*,SI-2|RA-5,4
Oracle Linux Local Security Checks,*,SI-2|RA-5,4
OracleVM Local Security Checks,*,SI-2|RA-5,4
Palo Alto Local Security Checks,*,SI-2|RA-5,4
PhotonOS Local Security Checks,*,SI-2|RA-5,4
Red Hat Local Security Checks,*,SI-2|RA-5,4
Scientific Linux Local Security Checks,*,SI-2|RA-5,4
Slackware Local Security Checks,*,SI-2|RA-5,4
Solaris Local Security Checks,*,SI-2|RA-5,4
SuSE Local Security Checks,*,SI-2|RA-5,4
Ubuntu Local Security Checks,*,SI-2|RA-5,4
VMware ESX Local Security Checks,*,SI-2|RA-5,4
Virtuozzo Local Security Checks,*,SI-2|RA-5,4
Backdoors,,,
Brute force attacks,,,
CGI abuses,,,
CGI abuses : XSS,,,
CISCO,,,
DNS,,,
Databases,,,
Default Unix Accounts,,,
Denial of Service,,,
FTP,,,
Firewalls,56310,SC-7,4
Gain a shell remotely,,,
General,133964,AC-3(4),4
General,117530,UM-1,4
General,110483,CM-7,4
General,95928,AC-2,4
General,90191,CM-8,4
General,86420,CM-8,4
General,70544,AC-17(2)|SC-13,4
General,66334,SI-2|RA-5,4
General,64582,CM-8,4
General,57582,SC-12,4
General,57041,AC-17(2)|SC-13,4
General,56984,AC-17(2)|SC-13,4
General,56468,CM-8,4
General,55472,CM-8,4
General,54615,CM-8,4
General,51192,SC-12,4
General,45590,CM-8,4
General,45432,CM-8,4
General,45410,SC-12,4
General,39520,SI-2|RA-5,4
General,35351,CM-8,4
General,34098,CM-8,4
General,33276,CM-8,4
General,25220,SC-8,4
General,25203,CM-8,4
General,25202,CM-8,4
General,22869,CM-8,4
General,21643,AC-17(2)|SC-13,4
General,12053,CM-8,4
General,11936,CM-8,4
General,10881,AC-17(2)|SC-13,4
General,10863,SC-12,4
General,10287,CM-8,4
General,10114,CM-6,4
Misc.,118237,CM-8,4
Misc.,97993,CM-8,4
Misc.,90707,CM-8,4
Misc.,84821,AC-17(2)|SC-13,4
Misc.,83875,AC-17(2)|SC-13,4
Misc.,70657,AC-17(2)|SC-13,4
Misc.,58651,AC-17,4
Mobile Devices,,,
Netware,,,
Peer-To-Peer File Sharing,,,
Policy Compliance,,,
Port scanners,14272,CM-8,4
RPC,53335,CM-8,4
RPC,10223,CM-8,4
SCADA,,,
SMTP problems,,,
SNMP,,,
Service detection,121010,AC-17(2)|SC-13,4
Service detection,104743,AC-17(2)|SC-13,4
Service detection,25221,CM-8,4
Service detection,22964,CM-8,4
Service detection,11111,CM-8,4
Service detection,10884,AU-8(1),4
Service detection,10267,AC-17(2),4
Settings,117887,UM-1,4
Settings,110095,UM-1,4
Settings,19506,UM-1,4
Web Servers,85805,SC-8|SC-13,4
Web Servers,84502,AC-17(2)|SC-13,4
Web Servers,43111,CM-8,4
Web Servers,24260,CM-8,4
Web Servers,10107,CM-8,4
Windows,,,
Windows : Microsoft Bulletins,,,
Windows : User management,,,
