Hostname,Distro,CVE ID,Compliance ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Vulnerability Tags,Description,Cause,Published,Services,Cluster,Vulnerability Link
my-fake-host-1.somewhere.cloud,redhat-RHEL7,,60522,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.2.2) Ensure permissions on SSH private host key files are configured,"File ownership is wrong, expected: 0:root, actual 0:ssh_keys. Full path: /etc/ssh/ssh_host_ecdsa_key",,,,
my-fake-host-1.somewhere.cloud,redhat-RHEL7,,6412,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 4.1.3) Ensure auditd service is enabled,,,,,
my-fake-host-1.somewhere.cloud,redhat-RHEL7,CVE-2019-19927,46,image,moderate,kernel,,3.10.0-1160.45.1.el7,GPLv2,6.00,affected,,Red Hat\'s versions of the associated software have been determined to NOT be affected by CVE-2019-19927.,,2019-12-31 00:00:00.000,,,http://somewhere.cloud/security/cve/CVE-2019-19927
my-fake-host-1.somewhere.cloud,redhat-RHEL7,CVE-2016-2226,46,image,low,gcc,,4.8.5-44.el7,GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD,3.30,will not fix,,"Integer overflow in the string_appends function in cplus-dem.c in libiberty allows remote attackers to execute arbitrary code via a crafted executable, which triggers a buffer overflow.",,2017-02-24 20:59:00.000,,,http://somewhere.cloud/security/cve/CVE-2016-2226
my-fake-host-1.somewhere.cloud,redhat-RHEL7,CVE-2020-28367,46,image,moderate,gcc,,4.8.5-44.el7,GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD,7.50,will not fix,,"DOCUMENTATION: An input validation vulnerability was found in Go. If cgo is specified in a Go file, it is possible to bypass the validation of arguments to the gcc compiler. This flaw allows an attacker to create a malicious repository that can execute arbitrary code when downloaded and run via `go get` or `go build` while building a Go project. The highest threat from this vulnerability is to confidentiality and integrity as well as system availability.             STATEMENT: While the OpenShift Container Platform (OCP), Red Hat OpenShift Jaeger (RHOSJ),  OpenShift Service Mesh (OSSM), and OpenShift Virtualization all contain RPMs and containers that are compiled with a vulnerable version of Go, the vulnerability is specific to the building of the Go code itself. Using `go get` or `go build` and as such, the relevant components have been marked as not affected.  Additionally, only the main RPMs and containers for OCP, RHOSJ, OSSM, and OpenShift Virtualization are represented due to the large volume of not affected components.  Red Hat Ceph Storage 3 ships the vulnerable version of go, and an attacker building go code on RHCS 3 could potentially exploit this vulnerability.             MITIGATION: If it\'s possible to confirm that the go project being built does not rely on any cgo code in the included dependencies, the env variable CGO_ENABLED=0 can be specified when using eithe",,2020-11-12 00:00:00.000,,,http://somewhere.cloud/security/cve/CVE-2020-28367
my-fake-host-1.somewhere.cloud,redhat-RHEL7,CVE-2016-1938,46,image,low,nss-softokn-freebl,,3.67.0-3.el7_9,MPLv2.0,2.60,will not fix,,"The s_mp_div function in lib/freebl/mpi/mpi.c in Mozilla Network Security Services (NSS) before 3.21, as used in Mozilla Firefox before 44.0, improperly divides numbers, which might make it easier for remote attackers to defeat cryptographic protection mechanisms by leveraging use of the (1) mp_div or (2) mp_exptmod function.",,2016-01-31 18:59:00.000,,,http://somewhere.cloud/security/cve/CVE-2016-1938
my-fake-host-1.somewhere.cloud,redhat-RHEL7,CVE-2016-1583,46,image,important,kernel,,3.10.0-1160.49.1.el7,GPLv2,8.10,affected,,"The ecryptfs_privileged_open function in fs/ecryptfs/kthread.c in the Linux kernel before 4.6.3 allows local users to gain privileges or cause a denial of service (stack memory consumption) via vectors involving crafted mmap calls for /proc pathnames, leading to recursive pagefault handling.",,2016-06-27 10:59:00.000,,,http://somewhere.cloud/security/cve/CVE-2016-1583
my-fake-host-2.somewhere.cloud,redhat-RHEL7,,60522,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.2.2) Ensure permissions on SSH private host key files are configured,"File ownership is wrong, expected: 0:root, actual 0:ssh_keys. Full path: /etc/ssh/ssh_host_ecdsa_key",,,,
my-fake-host-2.somewhere.cloud,redhat-RHEL7,CVE-2021-28964,46,image,moderate,python-perf,,3.10.0-1160.45.1.el7,GPLv2,4.10,will not fix,,Red Hat\'s versions of the associated software have been determined to NOT be affected by CVE-2021-28964.,,2021-03-16 00:00:00.000,,,http://somewhere.cloud/security/cve/CVE-2021-28964
my-fake-host-2.somewhere.cloud,redhat-RHEL7,CVE-2017-5897,46,image,low,python-perf,,3.10.0-1160.45.1.el7,GPLv2,3.70,will not fix,,"The ip6gre_err function in net/ipv6/ip6_gre.c in the Linux kernel allows remote attackers to have unspecified impact via vectors involving GRE flags in an IPv6 packet, which trigger an out-of-bounds access.",,2017-03-23 16:59:00.000,,,http://somewhere.cloud/security/cve/CVE-2017-5897
my-fake-host-2.somewhere.cloud,redhat-RHEL7,CVE-2016-1583,46,image,important,python-perf,,3.10.0-1160.45.1.el7,GPLv2,8.10,affected,,"The ecryptfs_privileged_open function in fs/ecryptfs/kthread.c in the Linux kernel before 4.6.3 allows local users to gain privileges or cause a denial of service (stack memory consumption) via vectors involving crafted mmap calls for /proc pathnames, leading to recursive pagefault handling.",,2016-06-27 10:59:00.000,,,http://somewhere.cloud/security/cve/CVE-2016-1583
my-fake-host-3.somewhere.cloud,redhat-RHEL7,,6412,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 4.1.3) Ensure auditd service is enabled,,,,,
my-fake-host-3.somewhere.cloud,redhat-RHEL7,CVE-2021-20316,46,image,moderate,samba-common,,4.10.16-15.el7_9,GPLv3+ and LGPLv3+,5.90,will not fix,,"STATEMENT: As per upstream \""Prior to Samba 4.15.0 patches for this are not possible, due to the prior design of the Samba VFS layer which used pathname-based calls for most meta-data operations. A two and a half year effort was undertaken to completely re-write the Samba VFS layer to stop use of pathname-based calls in all cases involving reading and writing of metadata returned to the client. This work has finally been completed in Samba 4.15.0.\""             MITIGATION: Do not enable SMB1 (please note SMB1 is disabled by default in Samba from version 4.11.0 and onwards). This prevents the creation of symbolic links via SMB1. If SMB1 must be enabled for backwards compatibility then add the parameter:  unix extensions = no  to the [global] section of your smb.conf and restart smbd. This prevents SMB1 clients from creating symlinks on the exported file system.  However, if the same region of the file system is also exported using NFS, NFS clients can create symlinks that potentially can also hit the race condition. For non-patched versions of Samba we recommend only exporting areas of the file system by either SMB2 or NFS, not both.",,2022-01-10 00:00:00.000,,,http://somewhere.cloud/security/cve/CVE-2021-20316
my-fake-host-3.somewhere.cloud,redhat-RHEL7,CVE-2021-43566,46,image,low,samba-common,,4.10.16-15.el7_9,GPLv3+ and LGPLv3+,2.60,will not fix,,"All versions of Samba prior to 4.13.16 are vulnerable to a malicious client using an SMB1 or NFS race to allow a directory to be created in an area of the server file system not exported under the share definition. Note that SMB1 has to be enabled, or the share also available via NFS in order for this attack to succeed.",,2022-01-11 16:15:00.000,,,http://somewhere.cloud/security/cve/CVE-2021-43566
my-fake-host-3.somewhere.cloud,redhat-RHEL7,CVE-2021-44142,46,image,critical,samba-common,,4.10.16-15.el7_9,GPLv3+ and LGPLv3+,9.90,fixed in 4.10.16-18.el7_9,,"Samba is an open-source implementation of the Server Message Block (SMB) protocol and the related Common Internet File System (CIFS) protocol, which allow PC-compatible machines to share files, printers, and various information.  Security Fix(es):  * samba: Out-of-bounds heap read/write vulnerability in VFS module vfs_fruit allows code execution (CVE-2021-44142)  For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.",,2022-01-31 00:00:00.000,,,http://somewhere.cloud/errata/RHSA-2022:0328
my-fake-host-3.somewhere.cloud,redhat-RHEL7,CVE-2021-29923,411,image,high,go,,1.16.6,,7.50,fixed in 1.17,,"DOCUMENTATION: A flaw was found in golang. Extraneous zero characters at the beginning of an IP address octet are not properly considered which could allow an attacker to bypass IP-based access controls. The highest threat from this vulnerability is to data confidentiality and integrity as well as system availability.             STATEMENT: This vulnerability potentially affects any component written in Go that uses the net standard library and ParseIP / ParseCIDR functions. There are components which might not use these functions or might use them to parse IP addresses and not manage them in any way (only store information about the ip address) . This reducing the severity of this vulnerability to Low for the following components: * OpenShift distributed tracing (formerly OpenShift Jaeger) * OpenShift Migration Toolkit for Containers * OpenShift Container Platform             MITIGATION: Mitigation for this issue is either not available or the currently available options do not meet the Red Hat Product Security criteria comprising ease of use and deployment, applicability to widespread installation base or stability.",,2021-03-22 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-29923
my-fake-host-4.somewhere.cloud,redhat-RHEL7,,6141,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.1) Ensure permissions on bootloader config are configured,"File permissions not configured properly, expected: 600, actual: 644. Full path: /boot/grub2/grub.cfg",,,,
my-fake-host-4.somewhere.cloud,redhat-RHEL7,,6143,linux,critical,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.3) Ensure authentication required for single user mode,"Password should be set for user ""root"". File: /etc/shadow",,,,
my-fake-host-4.somewhere.cloud,redhat-RHEL7,CVE-2021-43566,46,image,low,libwbclient,,4.10.16-17.el7_9,GPLv3+ and LGPLv3+,2.60,will not fix,,"All versions of Samba prior to 4.13.16 are vulnerable to a malicious client using an SMB1 or NFS race to allow a directory to be created in an area of the server file system not exported under the share definition. Note that SMB1 has to be enabled, or the share also available via NFS in order for this attack to succeed.",,2022-01-11 16:15:00.000,,,http://somewhere.cloud/security/cve/CVE-2021-43566
my-fake-host-4.somewhere.cloud,redhat-RHEL7,CVE-2021-20316,46,image,moderate,libwbclient,,4.10.16-17.el7_9,GPLv3+ and LGPLv3+,5.90,will not fix,,"STATEMENT: As per upstream \""Prior to Samba 4.15.0 patches for this are not possible, due to the prior design of the Samba VFS layer which used pathname-based calls for most meta-data operations. A two and a half year effort was undertaken to completely re-write the Samba VFS layer to stop use of pathname-based calls in all cases involving reading and writing of metadata returned to the client. This work has finally been completed in Samba 4.15.0.\""             MITIGATION: Do not enable SMB1 (please note SMB1 is disabled by default in Samba from version 4.11.0 and onwards). This prevents the creation of symbolic links via SMB1. If SMB1 must be enabled for backwards compatibility then add the parameter:  unix extensions = no  to the [global] section of your smb.conf and restart smbd. This prevents SMB1 clients from creating symlinks on the exported file system.  However, if the same region of the file system is also exported using NFS, NFS clients can create symlinks that potentially can also hit the race condition. For non-patched versions of Samba we recommend only exporting areas of the file system by either SMB2 or NFS, not both.",,2022-01-10 00:00:00.000,,,http://somewhere.cloud/security/cve/CVE-2021-20316
my-fake-host-4.somewhere.cloud,redhat-RHEL7,CVE-2021-44142,46,image,critical,libwbclient,,4.10.16-17.el7_9,GPLv3+ and LGPLv3+,9.90,fixed in 4.10.16-18.el7_9,,"Samba is an open-source implementation of the Server Message Block (SMB) protocol and the related Common Internet File System (CIFS) protocol, which allow PC-compatible machines to share files, printers, and various information.  Security Fix(es):  * samba: Out-of-bounds heap read/write vulnerability in VFS module vfs_fruit allows code execution (CVE-2021-44142)  For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.  Bug Fix(es):  * Fix username map script regression introduced with CVE-2020-25717 (BZ#2046173)",,2022-01-31 00:00:00.000,,,http://somewhere.cloud/errata/RHSA-2022:0328
my-fake-host-5.somewhere.cloud,redhat-RHEL7,,60522,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.2.2) Ensure permissions on SSH private host key files are configured,"File ownership is wrong, expected: 0:root, actual 0:ssh_keys. Full path: /etc/ssh/ssh_host_ecdsa_key",,,,
